Portfolio,Profit_2019_(%),Profit_2020_(%),Profit_2021_(%),Profit_2022_(%),Profit_2023_(%),Profit_2024_(%),Profit_2025_(%)
"TRENT, PRECWIRE, INDIAGLYCO, PERSISTENT, ANGELONE",0.0,-13.678468294837277,-13.18225724586377,274.74483224349586,15.906708335772812,51.60426607892763,322.53165519908765
"TI, INDIAGLYCO, PERSISTENT, ABCAPITAL, BAJFINANCE",-6.53363687194759,-32.171176394090125,78.9720890889525,327.21387528598154,37.49436051716686,57.38308234966758,98.48071615889596
"ARVIND, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",0.0,-21.10912231237615,-42.20782346026688,544.4791937546831,3.7116812882801664,41.48076272032739,382.4093773185065
"TI, TRENT, PERSISTENT, BANKBARODA, ABCAPITAL",-5.879447131866833,-31.13523715585833,79.55668326021733,192.78009555974518,43.59628597883647,93.30775860513856,119.72320177877447
"PERSISTENT, BSE, ANGELONE, ABCAPITAL, BAJFINANCE",0.0,-24.142071598408254,-2.184063399756342,389.9449176362916,15.925632835941883,70.31719858350327,189.45377751657637
"TI, TRENT, BSE, ABCAPITAL, BAJFINANCE",1.491275232590894,-22.480213996310518,22.681556160848526,180.90735211658946,32.25575442852113,109.10023141876005,176.65245972820375
"INDIAGLYCO, PERSISTENT, BSE, ANGELONE, ABCAPITAL",0.0,-18.710050786158526,-19.469680922052778,392.87150191844205,14.808586518405352,42.67959643913615,292.47321388039563
"ARVIND, TRENT, PRECWIRE, INDIAGLYCO, BSE",19.46772761422917,-42.59665498104995,-28.450651807331905,170.09888705623345,13.131163928393352,76.85254154608438,679.42632156646
"TI, PRECWIRE, PERSISTENT, BHARTIARTL, BAJFINANCE",-9.531098256892012,-13.738096743616879,39.08541631235045,262.91067962505184,35.69351292906031,64.37096838786289,135.19164180900387
"PRECWIRE, PERSISTENT, BSE, COFORGE, ANGELONE",0.0,-19.29462135325656,-35.635289458329076,439.6367759451608,5.163662823535242,40.977485558459506,397.0105428481763
"TI, TRENT, INDIAGLYCO, PERSISTENT, UNIONBANK",-4.5912158328231145,-35.13932995060116,18.021783914778577,185.23307957227598,38.39758171853194,77.75954555915109,301.7582758002514
"TI, INDIAGLYCO, PERSISTENT, CANBK, ABCAPITAL",8.0281833880119,-44.36630810016763,54.72507396897905,311.0586316325443,49.80405131069896,55.26674722916698,131.52995155715828
"TI, TRENT, INDIAGLYCO, PERSISTENT, COFORGE",-14.88398433718261,-35.24694366910285,20.819693773322044,262.1913971452025,26.860771553900985,32.29975770579203,405.6294497536454
"TI, PRECWIRE, INDIAGLYCO, PERSISTENT, UNIONBANK",15.473245377138479,-49.44656263370425,5.957511092286882,270.16475848736366,54.34011323229897,68.70560470354592,243.23697173382942
"TI, TRENT, PRECWIRE, PERSISTENT, COFORGE",-12.648520485009684,-39.4981783099412,24.63587215967198,247.67295461194277,22.095009562333303,52.994333867040446,378.0772490704556
"TI, TRENT, INDIAGLYCO, BSE, ANGELONE",0.0,-17.750412369030332,-53.39526703379628,223.08394004954232,22.115665790084947,55.14834185549604,768.0525185417416
"TI, TRENT, BSE, ANGELONE, ABCAPITAL",0.0,-19.965243906827666,-30.78811703960711,194.12331732347866,14.994396475316506,115.26459799546922,402.6757212250131
"TI, PRECWIRE, BSE, UNIONBANK, ABCAPITAL",23.719230623106103,-47.86316340715653,-30.364766911162555,196.2684651283458,51.57467086672112,165.3988594425222,277.35651356432743
"TI, PRECWIRE, INDIAGLYCO, PERSISTENT, BAJFINANCE",-2.2966255762433385,-29.50304926515942,30.397383962049695,326.5778988810286,45.21378337781427,45.211024691110026,149.81901105261593
"TI, BSE, COFORGE, CANBK, ABCAPITAL",1.3501716050443369,-34.09931052173229,9.824493079525066,242.0621967537116,35.440738820781135,61.8579612442451,266.8634508932512
"TI, TRENT, INDIAGLYCO, BSE, UNIONBANK",12.34041457081203,-39.02715761796791,-25.468454811300735,140.20567162938738,39.56820120097782,75.11263349685868,572.6144562743909
"ARVIND, PERSISTENT, BSE, COFORGE, ANGELONE",0.0,-22.840283447819544,-32.64971061431727,532.8370574695771,-14.069081003866879,36.87170571254226,420.5307250247998
"PRECWIRE, PERSISTENT, BSE, ANGELONE, ABCAPITAL",0.0,-20.78362660285842,-27.939492850017565,387.7135626195784,12.531058531799989,64.62827811146813,289.0946755415035
"TRENT, PRECWIRE, INDIAGLYCO, BSE, COFORGE",-5.3619638784428325,-29.080394582804626,-8.147382823936722,173.86986278757624,17.534350044165947,32.06428898007334,665.4807483337457
"TI, TRENT, PERSISTENT, BSE, CANBK",6.971725608301971,-37.228894175474494,4.178306766005657,239.45598123654767,-4.693927246512097,86.60070456152017,374.31555248174425
"TI, PRECWIRE, PERSISTENT, ABCAPITAL, BAJFINANCE",-2.7876673729372303,-30.12376703873797,49.26710110272063,319.5896337189028,43.73052827690485,78.89033495333535,83.06089523378772
"TI, PERSISTENT, CANBK, ABCAPITAL, BAJFINANCE",-7.535540020240594,-31.076071080230438,71.7356909562231,287.1974395437952,44.42121439115865,82.55659196545393,79.16874249643926
"TI, TRENT, PRECWIRE, PERSISTENT, UNIONBANK",0.6768740528230843,-40.189903863025734,24.393583921086282,180.0994983901938,31.999632798221555,89.29412279442673,280.8954153558163
"TI, TRENT, INDIAGLYCO, BSE, BAJFINANCE",2.3436054408276785,-17.418794426700078,-9.653660685914788,219.15664314241354,38.8285456598203,53.524070900440954,284.23561744518724
"TI, TRENT, PERSISTENT, BSE, BHARTIARTL",-2.8632327831027427,-31.32572803317528,13.862059629831913,202.36940816487206,10.838972361245446,52.26615261085041,414.43246225856427
"TRENT, INDIAGLYCO, PERSISTENT, BSE, ANGELONE",0.0,-16.646107139138188,-35.72158507458788,307.5150885438529,5.804722593724931,51.410830970258644,468.8079981489079
