combination_symbols,sharpe_ratio,benchmark_sharpe,sortino_ratio,benchmark_sortino,total_profit_pct,profit_last_year_pct,profit_last_60_days_pct,rejection_reasons,max_drawdown
"SUNPHARMA, BANKBARODA, PRECWIRE, TRENT, IRFC",0.5698379126962524,0.45258528438627393,12.88931352075638,1.6172197553771834,43249.44468128951,112.55406655294169,-7.463574237575987,Profit last 60 days -7.46% <= 0,-0.6273615409602996
"SUNPHARMA, BANKBARODA, PRECWIRE, TRENT, DLF",0.547766896406062,0.45258528438627393,2.681356559887134,1.6172197553771834,470.5198838997701,100.16265351929805,-5.986259258401727,Profit last 60 days -5.99% <= 0,-0.6077667948298158
"SUNPHARMA, BANKBARODA, PRECWIRE, IRFC, DLF",0.5362201781593279,0.45258528438627393,12.293240028146705,1.6172197553771834,19548.640269382446,21.020294196058064,-11.489903937557155,Profit last 60 days -11.49% <= 0,-0.6262973104934979
"SUNPHARMA, BANKBARODA, AHLEAST, BIOCON, TRENT",0.5187594200566029,0.45258528438627393,2.013255572965786,1.6172197553771834,294.2811750855109,116.32360063588321,-2.27701309736823,Profit last 60 days -2.28% <= 0,-0.41644508006611036
"SUNPHARMA, BANKBARODA, AHLEAST, BIOCON, IRFC",0.4862572870537597,0.45258528438627393,6.4025654404051995,1.6172197553771834,1682.0541669123425,-13.429138466124591,-9.951160925995083,Profit last year -13.43% <= 0; Profit last 60 days -9.95% <= 0,-0.5604322648344086
"SUNPHARMA, BANKBARODA, AHLEAST, BIOCON, DLF",0.23581872192120476,0.45258528438627393,0.3717394755955436,1.6172197553771834,-10.004085844083244,-8.396187826251433,-5.6580555577959935,Sharpe 0.24 <= Benchmark 0.45; Sortino 0.37 <= Benchmark 1.62; Total profit -10.00% <= 0; Profit last year -8.40% <= 0; Profit last 60 days -5.66% <= 0,-0.7300543441409384
"SUNPHARMA, BANKBARODA, AHLEAST, TRENT, IRFC",0.5509001278839583,0.45258528438627393,12.958905149353994,1.6172197553771834,27227.01690659677,176.76309814165566,-0.45147980218024353,Profit last 60 days -0.45% <= 0,-0.5988698145003487
"SUNPHARMA, BANKBARODA, AHLEAST, TRENT, DLF",0.5655917867543129,0.45258528438627393,2.946827056356851,1.6172197553771834,543.5708535593982,128.76220421783086,-2.1686520260716047,Profit last 60 days -2.17% <= 0,-0.6460930665377767
"SUNPHARMA, BANKBARODA, AHLEAST, IRFC, DLF",0.5118368014603926,0.45258528438627393,12.477327490261542,1.6172197553771834,10881.416390661901,10.276715295800877,-4.991497817847423,Profit last 60 days -4.99% <= 0,-0.5844824930190887
"SUNPHARMA, BANKBARODA, BIOCON, TRENT, IRFC",0.5711257331170602,0.45258528438627393,8.499881449598137,1.6172197553771834,7117.267766902336,120.68256322267321,-4.983161279425252,Profit last 60 days -4.98% <= 0,-0.5968133006419284
"SUNPHARMA, BANKBARODA, BIOCON, TRENT, DLF",0.5055386427400833,0.45258528438627393,2.029287253801996,1.6172197553771834,273.46303458446187,87.32830142545878,-3.171678523397925,Profit last 60 days -3.17% <= 0,-0.5446745840894192
"SUNPHARMA, BANKBARODA, BIOCON, IRFC, DLF",0.5361886284906223,0.45258528438627393,8.100710305764556,1.6172197553771834,4968.051579737064,-4.162868706069545,-8.853565601405656,Profit last year -4.16% <= 0; Profit last 60 days -8.85% <= 0,-0.541661471796814
"SUNPHARMA, BANKBARODA, TRENT, IRFC, DLF",0.5534301768205159,0.45258528438627393,13.677510445900133,1.6172197553771834,34053.3356715406,123.1743193569606,-8.749986234595951,Profit last 60 days -8.75% <= 0,-0.6083418901567184
